,0
2019-10-01,97.88553362370612
2019-11-01,96.11415659516689
2019-12-01,106.86257238038083
2020-01-01,113.85964599182401
2020-02-01,104.95019536241108
2020-03-01,101.14245442153207
2020-04-01,95.50468093601864
2020-05-01,102.69366143517095
2020-06-01,118.47347819328989
2020-07-01,131.06493844597549
2020-08-01,130.60486231578693
2020-09-01,117.56085876066899
2020-10-01,104.94796094251991
2020-11-01,103.04877931349327
2020-12-01,114.57269176777866
2021-01-01,122.07460324438763
2021-02-01,112.52233702015273
2021-03-01,108.43986811234853
2021-04-01,102.39533007228472
2021-05-01,110.10299449123677
2021-06-01,127.02132278249837
2021-07-01,140.52125510026133
2021-08-01,140.02798454276268
2021-09-01,126.04285798770782
