,predicted_mean
2019-10-01,96.45800308413399
2019-11-01,93.81539942897034
2019-12-01,103.91188052470275
2020-01-01,110.06579135794136
2020-02-01,101.012865152813
2020-03-01,96.46596311363909
2020-04-01,90.27569504190363
2020-05-01,96.56796090160263
2020-06-01,111.42578081579705
2020-07-01,123.13325353771812
2020-08-01,122.37540803163392
2020-09-01,109.23672375864624
2020-10-01,96.42225019736817
2020-11-01,94.12884012481341
2020-12-01,104.56454940517472
2021-01-01,110.90507569297061
2021-02-01,101.7412589741212
2021-03-01,97.12796019460737
2021-04-01,90.84395597141194
2021-05-01,97.22261967779771
2021-06-01,112.30335807342085
2021-07-01,124.19818050639232
2021-08-01,123.42741094578788
2021-09-01,110.07840252033752
